,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
9908,안철수가 과연 윤석열을 정책적으로 얼마나 컨트롤 할 지 궁금 그리고 공은 결국 윤석열이 챙겨가는 것인데 여기에서 안철수가 자신 덕에 정부의 업적이 생겼다는 점을 어떻게 어필할 지도 궁금,0.74,0.01,0.02,0.02,0.01,0.02,0.01,0.03,0.04,0.35
11339,오늘 안철수를 대신해서 말한 그 변을 들어보니 참 끼리끼리 잘 논다 싶을 뿐 이다 부끄러움도 없다 당연 정치윤리란 걸 가져본적도 없었다는 소리인거다 그래도 이럴거라곤 생각도 못했었는데,0.64,0.05,0.02,0.03,0.01,0.01,0.01,0.03,0.16,0.1
14451,ㅋㅋㅋㅋㅋㅋ맞아 울엄마 안철수 뽑을라했는데 갑자기 사퇴하고 윤석열한테 붙었다고 누구 뽑아야될지 모르겠다함ㅋㅋㅋㅋ 아니 대선 며칠남았다고 그러는거임,0.7,0.01,0.02,0.07,0.01,0.01,0.01,0.07,0.15,0.12
15117,윤석열 뽑으면 손가락 짜르고 싶을 것이라던 안철수가 윤석열 밑으로 겨 들어갔다 요 쥐새끼 ㅋㅋ,0.79,0.08,0.04,0.02,0.02,0.01,0.01,0.05,0.09,0.06
16145,틀렷어 안철수 단일화보다 이준석 손절을 했어야 됏음,0.82,0.01,0.02,0.04,0.01,0.08,0.01,0.18,0.11,0.07
17341,윤석열이랑 단일화 한다는 안철수 1년만 지나면 자신의 손가락을 자르겠구나,0.75,0.01,0.02,0.04,0.01,0.02,0.01,0.07,0.1,0.22
17411,YTN 윤석열 안철수 단일화 전격 합의 오전 공동 기자회견 발행일시 2022 03 03 07 03 뉴스 최신뉴스,0.75,0.02,0.01,0.02,0.01,0.04,0.01,0.03,0.16,0.1
18380,아 잠 안 와서 이것저것 보는 중에 안철수 ㅋㅋㅋ 하저새끼는진짜왜맨날이지랄인거임,0.82,0.05,0.01,0.02,0.02,0.03,0.01,0.03,0.15,0.07
18959,내가 투표하는 후보가 선출된다는 믿음으로 선거운동하고 투표하고 결과는 기다릴 일이다 안철수씨 말을 믿는 게 아니었을 뿐,0.86,0.13,0.01,0.04,0.01,0.02,0.02,0.03,0.05,0.03
19354,이재명 찌라시 묻는 윤석열에게 안철수의 간결 답변 난 몰라 내가 수사권 있는 것도 아니고 출처,0.8,0.02,0.02,0.01,0.01,0.01,0.01,0.06,0.14,0.11
19389,안철수 발언에 훌륭 나도 똑같은 생각 좋은 방안 TV토론,0.61,0.12,0.01,0.01,0.03,0.01,0.01,0.06,0.14,0.05
19468,안철수 정말 자랑스러운 내 후보 살면서 나 아닌 누군가를 이렇게 간절히 또 열렬히 응원한 적이 없다 아마도 나는 안철수를 응원했다기보다 내 신념을 응원한 게 아닐까이 지긋지긋한 세상에서 한번쯤은 아름다운 사람이 승리하는 모습을 보고 싶었던 게 아닐까,0.69,0.02,0.01,0.03,0.01,0.01,0.01,0.03,0.09,0.17
19523,뭐가 문제지 안철수가 저번부터 토론을 못해서 윤석열도 상대적으로 덜 문제적이어 보이는 게 문젠가 하 하여튼간에 돌아버리겠음,0.93,0.02,0.02,0.13,0.02,0.02,0.02,0.05,0.04,0.09
19528,토론 보면서 재미있는건이재명 안철수 심상정이 짜고서아주 대놓고 윤석열 집중공격하는데윤석열 맷집 좋게 받아 넘긴다 이재명 얼굴 벌겋게 달아 올랐다 ㅎㅎㅎ,0.83,0.01,0.02,0.23,0.01,0.02,0.01,0.06,0.07,0.15
19531,안철수 정치인으로선 존재감 없는데 교수모드 나오니까 웃수저네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.68,0.01,0.02,0.05,0.01,0.01,0.01,0.05,0.08,0.35
19941,3월 1주차 주중 차기 대선 후보 지지도 안철수 지지층 흡수하며 윤석열과 이재명 동반 상승 출처 먼곳으로 블로그,0.91,0.01,0.02,0.07,0.02,0.02,0.03,0.08,0.06,0.14
21176,또 속을까 겁나긴 합니다 그러나 이미 안철수에도 속은 인생 문파들한테 왜 못 속아 주나 상식과 원칙으로 돌아온 문파들을 환영합니다,0.71,0.01,0.01,0.03,0.01,0.02,0.01,0.07,0.2,0.12
21262,이상돈 국힘 안철수 수렁 빠질 뻔 잘 아는 이준석이 제동 출처 동아일보 네이버 뉴스 안철수의 리더쉽에 문제가 있다는건 안철수가 정치를 시작하기전 안랩시절부터 논란이 있었죠 주식시장에서 소문이 돌기도 했죠 되는 것도 없고 안되는 것도 없고,0.87,0.02,0.02,0.02,0.06,0.02,0.01,0.15,0.08,0.13
21414,안철수 정치적 기반 무너진다 여론조사 심각 출처,0.81,0.02,0.03,0.01,0.01,0.01,0.01,0.04,0.08,0.17
21732,양다리로 사익추구하는 안철수국민의 유권자 단일화를 통해이번에 완전히 정치생명 끊어야,0.82,0.02,0.01,0.03,0.05,0.05,0.01,0.06,0.07,0.12
