,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
296,"그리고 이번 대선에서 페미니즘과 퀴어인권에 대한 가시화를 위해 노력해주신 박지현 활동가님, 권인숙 의원님, 심상정 후보님, 장혜영 의원님 그리고 그 외의 수많은 관계자 여러분들께 진심으로 감사하단 말을 남기고 싶습니다. 덕분에 갑갑한 대선속에서도 작은 희망을 품고 나아갈 수 있었습니다.",0.07,0.01,0.65,0.02,0.01,0.01,0.01,0.04,0.05,0.19
4170,이게 나다!!! 5년 전 대선 토론에서 문재인이 동성애에 반대한다고 대답했을 때 찢어지던 마음을 심상정이 본인 시간 다 써서 ‘동성애는 찬성 반대의 문제가 아니다’로 다시 메꿔줬던 그 순간을 벌써 잊으면 나는 사람도 아니니까. 그런데 박지현 님 때문에 그 마음이 흔들렸어. ,0.03,0.01,0.73,0.02,0.01,0.01,0.01,0.02,0.05,0.17
4768,나 지워버린거 트젠권 챙기는 정의당이 젤 잘함내 목소리 듣는거 권인숙 박지현이 젤 잘함운명 맡길래 ,0.04,0.02,0.62,0.02,0.01,0.01,0.01,0.02,0.08,0.24
