,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
24315,안철수파일은 없나 봅니다 전에 이준석 성상납은 깐다고하니 이준석 벌벌거리며 윤석열에게 기어들어 갔는데,0.01,0.01,0.02,0.04,0.01,0.02,0.89,0.05,0.06,0.06
25872,자업자득 마음을 비우지 못하고 힘있는 공인의 자리만을 희망한 업보다 자리는 하늘이 만드는 것이라 아무리 인간이 포장을 한들 그 실체는 결국 들어나기 마련 그래서 수신제가 평천하 라 하지 않았나 안철수의 한계와 실패는 저 일곱글자 중의 하나에 있을 것이다,0.01,0.01,0.01,0.07,0.01,0.02,0.73,0.02,0.05,0.21
26116,안철수 측 윤석열 공개한 협상일지 수사기관 허위조서 같아 출처 한국일보 네이버 뉴스 윤석열사퇴요구,0.01,0.01,0.02,0.05,0.01,0.02,0.91,0.04,0.04,0.05
26465,안철수시대는갔다 굿바이철수 국민이단일화원하는데무슨조건이필요한가 40 윤과8 안이같이놀수있나 오늘양보하고미래에승부을걸어야지 대선끝나면국민의당해체될것이다,0.01,0.01,0.04,0.14,0.01,0.02,0.86,0.06,0.04,0.02
27532,안철수 개비호감 12년도에도 지지율 다 깎아먹고 양보한것도 안한것도 아닌것처럼 하고 삐져서 미국가더니 인상은 제일 좋은 사람이 입만 열면 리더할 만한 그릇이 안된다는 생각이 여지없이 든다 그냥 입다물고 뭐든 연구나 해라 제발,0.01,0.01,0.02,0.2,0.01,0.02,0.87,0.04,0.04,0.11
27606,뒤로 몰래 단호박씨 까고 있었던 안철수나 숨겨둔 윤핵관 동원한 윤석열이나 국민을 거저 호구로 본것이 이번 단일화소란의 핵심이다 정답은 이재명,0.01,0.01,0.03,0.06,0.01,0.06,0.82,0.18,0.11,0.03
27839,빚내서 푼돈 나눠준다는 1 2번대신 돈벌어오고 일자리 만들고 경제강국만들겠다는 4번이 있습니다 무능한 정권교대 아웃 시킵시다 안철수로 유능한정권교체 이룹시다,0.01,0.01,0.03,0.3,0.01,0.02,0.77,0.11,0.06,0.02
28010,썩은 정치인과 결별 잘 하셨습니다 앞으로 대한민국 멋진 1류 정치 하시길 기대합니다 사랑합니다,0.03,0.01,0.08,0.05,0.02,0.03,0.9,0.18,0.04,0.04
28504,안철수 정권교체를 안한다고,0.01,0.01,0.04,0.08,0.01,0.02,0.8,0.04,0.03,0.04
28872,이거 방금 봤는데ㅋㅋㅋ 이야ㅋㅋ 안철수가 찢재명한테 큰 약점 잡혔었구나ㅋㅋㅋㅋ 이제서야 이해가 가네 앞으로 더 까발려질 내용들도 흥미진진ㅋ 오늘 협상불발로 열받았었는데 오히려 빌미로 일타이피 하겠네 어대윤 윤석열대통령,0.01,0.01,0.01,0.06,0.01,0.03,0.68,0.07,0.19,0.04
31500,대통령안철수가 부각되어야 하는데 저들의 수에 말려들어 다시 단일화 흙탕물 속으로,0.01,0.01,0.03,0.04,0.01,0.01,0.71,0.01,0.04,0.28
31576,안철수 위딩 안일화 도 있었지 안초딩 간철수 안일화,0.04,0.0,0.02,0.04,0.01,0.08,0.74,0.19,0.09,0.08
31870,단일화 겁나서 도망쳤다 윤석열이 포기하면 내가 정권교체 기사 공유한 뒤 댓글로 ㄹㅇㅋㅋ 네글자만 치세요 이준석 안철수 홍준표 이슈시개,0.01,0.01,0.06,0.05,0.01,0.04,0.76,0.13,0.07,0.03
32155,이준석 ㄹㅇㅋㅋ 조롱에 홍준표도 좀 심하네 이슈시개 출처 노컷뉴스 네이버 병신이야 병신 저런 거 하나 제압 못하고 상대하고 있는 안철수도 그 수준이고 이준석은 대선 끝나고 빨리 까내야 한다,0.02,0.01,0.01,0.04,0.01,0.04,0.79,0.07,0.05,0.12
33058,내가 지지했던 이낙연님이 선거운동을 하는 이재명도 못찍겠다 안철수가 이재명을 지지한다고 그의 지지자들이 이재명을 찍겠는가,0.01,0.0,0.03,0.03,0.01,0.03,0.61,0.08,0.07,0.13
40075,공유 제 길 굳건히 가겠다 안철수 단일화 포기 후 완주 선언 출처 국가보석감 블로그,0.01,0.01,0.03,0.16,0.01,0.02,0.73,0.15,0.06,0.02
40874,안철수가 또 일요일에 기자회견 열었다고,0.02,0.0,0.02,0.03,0.01,0.04,0.75,0.11,0.07,0.08
41386,월간중앙 단독 인터뷰 대선 블랙홀 쏘아 올린 안철수의 작심토로,0.01,0.0,0.02,0.09,0.01,0.03,0.74,0.06,0.04,0.08
41394,국가수장을 뽑는데 국정을 더 잘 이끌어나갈 후보가 있다면 후보를 갈아타는 것은 백번 이해 해 난 갈아타고싶어도 갈아탈 사람이 없어서 갈아타지 못하지만 안철수도 신이 아니고 사람이라 완벽하진 않지만 이잼이나 윤하곤 비교가 도통 돼야 말이지 예전 안지했다고 이잼 또는 윤지지하는사람들,0.01,0.01,0.03,0.13,0.01,0.03,0.79,0.06,0.05,0.02
45306,단일화 방법 나왔는데 윤석렬 후보가 빈소에서 밤새며 안철수 후보와 공동 장례위원장하고 발인하며 단일화 발표하면 굳일텐데,0.02,0.02,0.05,0.05,0.01,0.01,0.78,0.03,0.04,0.19
45847,2022 02 15 세계일보 220215 029 윤석열 45 6 VS 이재명 38 7 VS 안철수 6 3 PNR 서울 지지율 과반 50 7 달해,0.02,0.01,0.03,0.05,0.01,0.06,0.88,0.13,0.05,0.04
47375,대구경북도 웃긴게 아직도 박근혜를 외치면서 박근혜 감옥보낸 윤석열을 민다는게 말이 되나 박근혜 석방을 주장한 건 안철수인데 ㅋㅋ 코로나 음성 안철수 보수 텃밭 TK서 독자행보 서울신문,0.03,0.01,0.02,0.04,0.01,0.03,0.65,0.22,0.19,0.02
47376,울엄마 진짜 웃겨 ㅋㅋㅋ 코드 꼬였는데 어디서 에러난지 모르겠다니까 안철수한테 갖고가래 근데 문제가 이 말이 장난이 아니고 진심임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋ 엄마 진정해욬ㅋㅋㅋㅋ 집 근처 대학 교수한테라고 노트북 갖고 가랰ㅋㅋㅋ 하여튼 노빠꾸 직진여성 마이마미 ㅋㅋㅋㅋㅋㅋㅋ,0.03,0.01,0.02,0.03,0.01,0.03,0.72,0.21,0.15,0.02
47661,물적분할 상장금지 물적분할 상장금지 윤석열 이재명 심상정과 같이 해 주세요,0.01,0.01,0.02,0.03,0.06,0.02,0.78,0.04,0.03,0.08
47662,물적분할 상장금지 물적분할 상장금지 공약 해 주세요,0.01,0.02,0.03,0.1,0.02,0.02,0.93,0.05,0.03,0.05
47665,물적분할 상장금지 물적분할 상장금지 물적분할 상장금지 안철수 공약 입니다 같이 주세요,0.01,0.01,0.03,0.25,0.01,0.01,0.8,0.03,0.03,0.14
47700,안철수만 정상,0.01,0.01,0.01,0.51,0.01,0.02,0.71,0.04,0.04,0.09
49170,이런 마음으로 모이면 안철수 당선이죠,0.01,0.01,0.02,0.51,0.01,0.02,0.7,0.04,0.03,0.09
52776,한때는 아저씨도 안철수 지지하셨으면서 이제와 안철수지지자라고 욕하는거 안 창피하신지 전 너무 부끄러울거 같은데 말이죠,0.01,0.01,0.04,0.07,0.01,0.13,0.85,0.12,0.04,0.05
55841,이재명 35 vs 윤석열 35 접전 호감도 조사는 안철수 48 이렇게 박빙일 때에는 언론의 영향이 엄청나게 커진다 김건희 주가조작 증거를 무려 KBS가 폭로했는데 다른 언론사들은 하루종일 김혜경 법카 얘기만 떠든다 그런데도 35 동률이다 쓰벌 눈물겹다 진짜,0.02,0.01,0.02,0.31,0.01,0.02,0.79,0.07,0.06,0.06
