,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
149,JTBC서 불꽃추적단 박지현 위원장 나와 이재명 지지연설하네.. 어제도 이 분 지지하는 마음으로 종각 유세에 나갔는데 윤무당이 정권 잡으면 극우한남들 타겟이 될 이 분의 안위가 심히 걱정된다. 더불어 졸지에 2등시민으로 전락할 나 포함 이 땅의 여성들의 운명은 어쩔..,0.05,0.91,0.03,0.08,0.03,0.03,0.01,0.02,0.04,0.05
175,나는 추적단불꽃을 위해 이재명 뽑을 거임 첫번째로 추적단불꽃 지키고 싶고 두번째로 이재명 공약이 그나마 내 니즈에 맞음 윤석열이 되면 난 김치년 되고 심상정이 되면 터프년이 되겠지 대놓고 한남충 부둥부둥하는 것도 빡치고 교묘하게 차별하면서 끝까지 남자 못놓고 시녀짓 강요하는 것도 빡침,0.12,0.92,0.02,0.05,0.02,0.02,0.02,0.02,0.04,0.04
225,이번에 꼭 윤석열 이준석 펨코 신남연 다 눌러버려야 해요. 여혐 전략 세우고 여성표 무시하면 어떻게 되는지 확실하게 보여줘야 정치권이 또 헛짓거리를 못하지. 게다가 이재명은 일도 잘 하고 일하고 싶어하는 사람이니까 일하게 해줍시다. 추적단 불꽃부터 여성들이 국회를 채워가는 거 좋잖아요?,0.35,0.65,0.02,0.04,0.01,0.02,0.01,0.02,0.06,0.05
269,준스톤이 자꾸 윤 뒤에서 깝침 + 추적단불꽃 합류로 찢 지지하시는 분들 많은데 전 찢 본인도 솔직히 사적으로 보면 윤쪽 못잖은 (아니 오히려 윤보다 더한) 여혐충이라고 생각하고 존나 깔거지만신남연새끼들 족치기 + 추적단 불꽃에 대한 의리로 찢한테 전략투표 하는 걸 굳이 뭐라하진 않겠음,0.14,0.84,0.02,0.1,0.02,0.03,0.01,0.02,0.05,0.04
280,이재명 vs 윤석열 싸움임우리는 한쪽에 집결해야 한다 표가 갈라지면 무효표밖에 안됨여자죽이기에 나선 신남연펨코도태남들은 윤한테 붙었다이재명엔 N번방 불꽃추적단이 합류여성정책뿐 아니라 기본인권 동물권에 대해 말한다소신있게 1번 간다#여성이_뽑는다_여성이_바꾼다#Vote_For_Womyn ,0.17,0.79,0.03,0.12,0.01,0.02,0.01,0.02,0.04,0.05
355,이런데도 윤과 이가 똑같다고 하는 사람들 좀 잘 봐라. 추적단 불꽃의 핵심 인력을 채용한 이랑 쉰남연과 결탁한 윤이 어떻게 같겠냐. 여성주의자라면서 구라치고 선동하지 좀 마라. ,0.18,0.72,0.02,0.2,0.04,0.02,0.01,0.03,0.05,0.03
392,"주변에서 고민하는 여성분들 계시다면 추적단 불꽃의 박지현씨가 이재명 선대위에 합류한 것도 꼭 알려주세요. N번방은 알아도, 추적단 불꽃의 존재와 활약에 대해서는 모르시는 분들이 많습니다. 한남 기레기들이 기자도 아닌 기자지망 젊은 여자들이 알린 게 아니꼬왔는지 보도를 존나 안해줬거든요. ",0.07,0.9,0.02,0.03,0.05,0.02,0.02,0.02,0.04,0.04
