,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
2565,맞아ㅋㅋㅋㅋㅋㅋㅋㅋ 타지역 사람들이 광주한테 왜 안철수를 몇십 퍼센트 뽑았냐고 실망했다 하고 지들 빨강 초록 퍼센트나 붙잡고 혼자 울지 왜 우리한테,0.01,0.01,0.01,0.02,0.01,0.65,0.01,0.02,0.22,0.1
2622,호남진짜이갈은게 빨간당이 2위인거 전엔 4위였자나 문재인 심상정 안철수 다몰표인가바,0.02,0.01,0.01,0.04,0.01,0.83,0.01,0.03,0.05,0.11
2642,전라도는 문프 당대표 시절 정확히 김종인 비대위 시절 총선도 안철수당 밀어줬잖아,0.02,0.01,0.02,0.05,0.01,0.88,0.02,0.02,0.03,0.17
2688,역풍이죠 전라도 몰표에 2030 여성표 그리고 만만치 않은 수도권과 부산 경남에서 선전 그게 다 안철수 덕은 아니겠지만 영향은 주었음,0.05,0.01,0.02,0.02,0.02,0.87,0.01,0.03,0.04,0.13
2769,아 근데 결과적으로는 안철수 단일화가 전라도에 큰 영향을 미침 역풍 제대로 맞은,0.02,0.01,0.02,0.04,0.01,0.88,0.02,0.02,0.04,0.12
2787,민주당 득표율은 광주의 트라우마 때문이라고 호남분들 원망하지말라고 말씀하시는 분들 계신데 19대 대선에서 문재인 대통령 호남 득표율 였음 안철수는,0.01,0.01,0.01,0.02,0.01,0.61,0.01,0.02,0.04,0.45
2902,대전도 세종도 충남 충북도 빨강 서울도 빨강이면 말다했네 윤석열 대통령 당선될듯 아직 모르는거라 뭐 나는 안철수 찍어서 무효표,0.01,0.02,0.02,0.02,0.01,0.83,0.02,0.02,0.04,0.24
2962,근데 전라도도 삐끗함 지지난 총선인가 전라도 안철수당 몰표였,0.02,0.01,0.02,0.03,0.01,0.92,0.02,0.03,0.04,0.1
3013,확실한건 단일화도 개같이 망했다는 거 안철수 등장 이후로 민주당의 호남 80 는 넘지 못하는 벽이었는데 이 사람들이 싸그리 이재명한테 갔네,0.01,0.01,0.01,0.03,0.01,0.68,0.02,0.04,0.12,0.1
3086,호남은 안철수 역풍인 듯,0.02,0.01,0.01,0.02,0.01,0.69,0.01,0.02,0.05,0.32
3207,난 근데 전라지역 보수당 11퍼도 상당히 충격임 19대 대선때 문재인 안철수 심상정 순으로 높앗던걸로 기억하는데,0.02,0.01,0.01,0.02,0.01,0.76,0.01,0.02,0.04,0.34
3214,전라도는 문재인의 민주당보다 안철수를 선택한 곳임 전라도가 무슨 만고땡 지성인이 모여 사는 곳이라 생각하면 오판 거기에 이낙연도 한몫했고,0.02,0.01,0.02,0.07,0.02,0.94,0.03,0.04,0.03,0.06
3229,호남이 갈수록 감떨어지네요 지난 안철수 몰표 나올때부터 점점 공중파 포털 유튭 언론 장악의 효과가 무섭네요 더러운건 덮어주고 과대포장으로 미화시키고 가짜 여조로 밴드웨건 효과까지,0.02,0.01,0.02,0.04,0.01,0.84,0.01,0.03,0.06,0.09
3235,언제까지 호남이 캐리해 안철수사퇴 안했어봐 지금 윤석열 당선임ㅋㅋㅋㅋㅋ,0.02,0.01,0.01,0.02,0.01,0.8,0.01,0.02,0.06,0.13
3251,근데 안철수랑 안합쳤으면 윤석열 쳐발렸음 ㅋㅋㅋㄱㅋㄱㅋ 근데 전라도에서 이재명이 84 ㅋㅋㅋㅋㅋ,0.02,0.01,0.02,0.04,0.01,0.88,0.03,0.03,0.05,0.07
3270,영호남 일대일싸움이면 인구많은 영남이 무조건이김 거기에 심상정이 완주해버리고 안철수가 윤으로 붙은 마당에 질수있는 구조가 아님,0.01,0.01,0.01,0.05,0.01,0.77,0.01,0.02,0.04,0.24
3435,투표율 높은 거 보고 마음이 너무 안 좋았음 안철수 배신까지 얘네는 그냥 전라도를 버린거임 전라도에서 민주화를 어떻게 이뤄냈는데 박근혜 탄핵시킨 지가 지금 5년밖에 안 됐는데 제정신이라면 그럼 안 되는 거고 정말 모독 중의 모독임 진짜,0.02,0.01,0.02,0.05,0.02,0.92,0.02,0.03,0.04,0.04
3439,전라권의 높은 사전 투표율이 궁금하다 그쪽은 안철수 지지율이 높았던 지역이자나,0.02,0.02,0.02,0.03,0.01,0.9,0.02,0.02,0.04,0.15
3517,부산인천이낮다 부산은 영패들이 안찍었을수있기때문에 둘다에게나쁜거 인천은 주로 국힘당이라 안찍으면 찢명이유리 경기 서울이결판내는건데 과연 어떻게 뵐것인가 머피의법칙대로 내가찍은놈이안되는거면정말 웃프겠다 이번선자포자기선거라 안철수는다시는안찍음,0.01,0.01,0.01,0.02,0.01,0.72,0.01,0.02,0.06,0.25
3599,안철수 호남에서 사람새끼 아님 지금 저희 엄마가 제 말 끊고 먼저 욕할 정도 ㅋㅋ,0.02,0.01,0.01,0.03,0.01,0.81,0.01,0.05,0.12,0.06
3691,토깽이가되느냐 여우가되느냐지 개가 여우한테 양보했거든 개는 늑대관데 여우한테 양보했다며 안철수 개가 울먹이잖아,0.01,0.01,0.02,0.04,0.01,0.6,0.01,0.03,0.08,0.1
3702,광주에 저분들 이재명 지지자들의 사기극 입니다 광주에 사는 10년째 안철수 지지자들이 저분들 처음 본답니다 이재명 지지자들의 자자극 사기 구역질 납니다,0.01,0.01,0.02,0.02,0.01,0.84,0.02,0.04,0.1,0.1
3794,강남서 헌팅도 당하고 이재오도 보고 안철수도보고 역시 강남이 문제다,0.01,0.01,0.02,0.03,0.01,0.62,0.01,0.03,0.06,0.08
3872,전국에 전라도사람들과 중도 야국 국민여러분 아직 투표 안 하신분들은 꼭 투표해서 윤석열이 검찰쿠테타 안철수 야합 막아야합니다 5공겪은사람으로서 이당저당 당원은 아니지만요 경상도 자랑이자 대한민국에 자산인 이재명을 경상도에서도 지지해서 당선시켜서 살기좋은 대한민국 만듭시다,0.02,0.01,0.02,0.05,0.01,0.9,0.02,0.03,0.03,0.11
4045,안철수 후보께서 그리고 싶은 나라를 마음껏 그릴 수 있기를요,0.01,0.01,0.02,0.02,0.01,0.8,0.02,0.02,0.05,0.25
4139,그러고보면 안철수지지자는 누가 싫어 저쪽에 표준다가 아니라 싫어도 이악물고 이이이하며 싫지만 표준다 그건 우리에겐 안철수가 있기때문이다,0.01,0.01,0.01,0.04,0.01,0.73,0.01,0.02,0.03,0.35
