,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
2048,이재명은 진짜 2030여자들한테 아니 박지현위원장님께 우선 절부터해라 ,0.65,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.11,0.29
2128,"여러분 정치후원금 10만원은 연말정산때 전액 돌려주고 그이상은 15% 돌려주는거 아시나요? #페미의원후원 합시다🔥저는 박지현위원장님께 영입제안하고 온라인그루밍 처벌법,평등법 등등 발의하신 권인숙 의원께 후원했습니다  ",0.75,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.08,0.32
2173,여자들 덕분이라고 말하면 여자들이 알아서 박지현을 영입한 혜안이라고 말해줄텐데... 그 정도 전략적 사고도 안되지 이것들,0.6,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.17,0.27
2205,민주당 진짜 박지현 부위원장한테 그리고 20-30대 여자들한테 잘해라.... ㅅㅂ 우리가 진짜 니네 멱살잡고 끌고왔으니까,0.72,0.02,0.01,0.03,0.03,0.05,0.01,0.06,0.24,0.04
2228,2030여성들이 없었음 박지현씨도 없었을거라 생각합니다. 우리 2030여성들 화이팅입니다. 2030여자가 미래다.,0.74,0.03,0.02,0.03,0.02,0.01,0.01,0.03,0.04,0.4
2260,솔직히 약간 정신 없는 소리 해보자면 엉탐이 저 지랄하고 둠이 박지현 부위원장 영입하면서 여성 지지율이 더 벌어질 줄 알았거던. 다시 보자면 혐오를 깔고 상대방이 페미니즘을 밀어붙여도 30% 정도는 콘크리트라는 말이 되겠지.,0.66,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.24,0.22
2287,이재명이든 뭐든 여성이 뭉쳐서 안티페미 세력을 잡겠다는 열의로 결집한 거. 이것에 집중해야한다. 박지현씨를 살리는 길도 앞으로 여성이 살아남을 길도 이거임,0.66,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.05,0.4
2356,진짜 20대 녀들 엄청 힘썼네 박지현 위원장님은 어떻든 대접해줘야함 ㄹㅇ,0.84,0.02,0.02,0.03,0.02,0.02,0.01,0.03,0.06,0.22
2429,지금 mbc에서 여성들 구조적 차별과 박지현부위원장님언급나오네요2030 여자들 표 절대 헛되지 않았다고 믿을게,0.7,0.02,0.02,0.01,0.02,0.01,0.01,0.03,0.07,0.39
2463," 박지현님까지 욕하는 인성, 지능수준…그냥 여자 일베임",0.89,0.02,0.02,0.02,0.03,0.02,0.01,0.06,0.08,0.08
2475,[돌발부록] 빵(생존권)과 장미(참정권) 영상 속엔 #송영길 #문재인 #이재명 #박지현 #윤석열 #심상정 #여성의날 #여가부폐지 #몰라요 #성인지예산 #페미니즘 #페미니스트대통령 있지요 ,0.9,0.02,0.02,0.05,0.01,0.02,0.02,0.06,0.06,0.08
2532, 혐오를 없앤다면 페미니즘을 없애주세요!,0.85,0.02,0.03,0.02,0.01,0.01,0.01,0.03,0.06,0.12
2616,난 진짜 .. 2030 여자들이 박지현한테 저렇게까지 할 수 있다는게 .... 고작 윤석열 빨겠다고 저런 소리가 나오는게 진짜 제정신이냐 싶음,0.72,0.03,0.02,0.01,0.04,0.01,0.01,0.07,0.13,0.09
2654,여기까지 보고서야 확신을 가졌는데 정의당은 페미라고 이야기하고 민주당을 욕하던게 그래서였구나박지현이라는 '젊은' '여성' '정치인'이 '민주당' 에 출현했기 때문에 '페미' 인 '정의당' 은 그 사실을 인정하기가 싫었던거고 그 질투심에 민주당을 마구마구 욕해댔던거구나 ,0.71,0.01,0.02,0.03,0.01,0.01,0.01,0.03,0.07,0.33
2679,민주당은 그나마 이후보 멱살 잡아서라도 말 잘듣게 해서 여성관련정책을 밀고 나간다는 오야붕님 계시고 박지현님도 다음 비례대표 후보로 나갈 가능성 있는데 정의당은 그 안에 안티페미들 그냥 냅두거나 너무 망언들을 내뱉는 사람들 있어서 적극 지지는 할 수가 없음,0.69,0.01,0.02,0.02,0.01,0.01,0.01,0.04,0.1,0.31
2696,정의당이 이번 선거 결과에서 사라질 정도의 타격을 받는다면 1번 찍어달라는박지현과 페미(?)도 한몫을 했다고 봐야지. 2번이 당선되고 1번이 낙선하면 실리도 잃고 명분도 잃고. 그리고 한국 정당사에 다당제에 가장 큰 걸림돌은 더민당인 거고.,0.77,0.01,0.02,0.03,0.01,0.02,0.01,0.04,0.08,0.22
2708,박지현님을 봐서라도 제발 1번 찍어달라고 진짜 절박하게 얘기하시길래 박지현님으로 눈물의 엘베토크하고 내림ㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ투표합쉬다...여자들을 지킵시다...,0.69,0.06,0.02,0.02,0.01,0.01,0.01,0.01,0.06,0.3
2770,추미애님.... 박지현 위원장님과 함께 멱살 잡고 재명이 페미 속성 과외 시키고 정신차리라고 해주세요 𝙎𝙄𝘽𝘼𝙇,0.84,0.04,0.02,0.02,0.01,0.01,0.01,0.03,0.11,0.1
2806, 좋아하는거 아님. 윤이 되면 이명박근혜보다 더 퇴보할 거니까 걍 1%비슷한걸로 뭉친거고 여자들은 이재명이 아니라 박지현을 지지하는 거임.. 공약 이행 하나는 미친 거 그리고 여자들이 피눈물 흘리면서 1번 뽑는 이유 다 알테니까 당선되면 그 약속 지키라고 압박하고 있는 거지,0.71,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.11,0.27
2845,"선거 막판에 박지현 씨 부각이나 1번남-2번남 선동 등 다 선거공학자들 표계산에서 나온 초단기 전술일 뿐인데,이걸 엄청난 대의인 것처럼 포장한 자칭 페미니스트들 보면 혀를 찰 뿐이다. 이재명 지지가 무슨 여성의 대의인가. 이재명에게 팔아먹을 수준의 대의인가. 그게 운동을 오히려 망치는 길",0.64,0.02,0.02,0.01,0.01,0.01,0.01,0.06,0.16,0.19
2887,"이대녀와 페미니스트들은 피해호소인 사태를 겪고 더 이상 집토끼가 아니다 존중하고 포섭,설득해야 하는 유권자라는 사실 잊지말길 더민주는 이미 신뢰를 잃었고지금 이재명을 뽑는 이대녀 대다수가  심상정 지지자 였다 🔥추적단 불꽃 박지현🔥의 호소를 보고 돌아서서 뽑고 있다",0.73,0.02,0.02,0.03,0.01,0.01,0.01,0.04,0.07,0.34
2896,이재명에 투표했다 이재명이 아니라 윤석열을 막고 여가부 수호와 여가부 보호하는 여성범죄 피해자들을 위해 또 디지털 성범죄 위협에도 얼굴을 들어낸 박지현씨를 위해 뽑았다 현실과 여성주의자로서 신념 사이 결국 남자를 뽑는 타협이 였다 더민주는 박지현씨와 이대녀를 다시 배신하지 말길,0.73,0.01,0.02,0.03,0.01,0.01,0.01,0.05,0.08,0.3
2899,박원순으로 페미니스트의 민낯을 보여주고 줄리로 여성혐오의 정수를 과시하더니 박지현으로 여성 피해자를 팔며 표를 구걸하는 민주당. 그들에게 여성과 페미니즘은 선거용 당근일 뿐. 또 속으면 바보다,0.79,0.01,0.02,0.02,0.01,0.06,0.01,0.11,0.12,0.06
2948,내말이 그말이다. 여성혐오(=쥴리) 10톤에 페미니즘(=박지현) 10그램을 섞은 거거든. ,0.65,0.04,0.02,0.02,0.01,0.01,0.01,0.02,0.09,0.32
2949,"이재명이추적단불꽃의 박지현과 손잡았다대선 마지막날 밤 피크타임에 젊은여성들 표를 얻고자...""썅년이 닳고 닳은 년이처녀가 애까지 낳은 년이미혼모 주제에너 마약전과 많지 우리관계 떠벌리면동기검사 시켜서 3년동안 구속시키겠다죽여버리겠다""이재명이 김부선에 한 말이다 ",0.75,0.01,0.01,0.05,0.01,0.01,0.02,0.03,0.16,0.09
3076,지금 '전국의 박지현님들 힘모아 주세요' 이지랄병하는 민주당 남자들에게서 광우병시위 때 촛불소녀 마스코트화 하던 그 감성을 느낌 ,0.85,0.03,0.02,0.02,0.02,0.04,0.01,0.09,0.12,0.12
3133,이번 선거에서 박지현의 역할이 뭔지는 정확히 모르겠지만 만일 박지현이 윤석열 쪽으로 갔다면 페미들이 윤석열을 찍었을까? 아님 박지현을 욕했을까? 누가 봐도 페미의 정반대에 있는 이재명에게 간 거에 대한 비난이 없는 걸 보면 쟤들은 그냥 이재명을 지지하고 싶었다고 생각하면 되는 건가?,0.74,0.02,0.02,0.02,0.01,0.01,0.01,0.04,0.08,0.28
